16/03/30 23:16:18 INFO client.RMProxy: Connecting to ResourceManager at ec2-52-36-82-211.us-west-2.compute.amazonaws.com/172.31.6.22:9050
16/03/30 23:16:18 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/30 23:16:18 INFO input.FileInputFormat: Total input paths to process : 1
16/03/30 23:16:19 INFO mapreduce.JobSubmitter: number of splits:75
16/03/30 23:16:19 INFO Configuration.deprecation: mapred.textoutputformat.separator is deprecated. Instead, use mapreduce.output.textoutputformat.separator
16/03/30 23:16:19 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1459379192543_0002
16/03/30 23:16:20 INFO impl.YarnClientImpl: Submitted application application_1459379192543_0002
16/03/30 23:16:20 INFO mapreduce.Job: The url to track the job: http://ec2-52-36-82-211.us-west-2.compute.amazonaws.com:9006/proxy/application_1459379192543_0002/
16/03/30 23:16:20 INFO mapreduce.Job: Running job: job_1459379192543_0002
16/03/30 23:16:30 INFO mapreduce.Job: Job job_1459379192543_0002 running in uber mode : false
16/03/30 23:19:52 INFO mapreduce.Job:  map 71% reduce 4%
16/03/30 23:19:53 INFO mapreduce.Job:  map 72% reduce 4%
16/03/30 23:19:54 INFO mapreduce.Job:  map 73% reduce 4%
16/03/30 23:19:56 INFO mapreduce.Job:  map 74% reduce 4%
16/03/30 23:19:57 INFO mapreduce.Job:  map 75% reduce 4%
16/03/30 23:19:58 INFO mapreduce.Job:  map 77% reduce 4%
16/03/30 23:19:59 INFO mapreduce.Job:  map 78% reduce 4%
16/03/30 23:20:01 INFO mapreduce.Job:  map 79% reduce 4%
16/03/30 23:20:02 INFO mapreduce.Job:  map 80% reduce 4%
16/03/30 23:20:03 INFO mapreduce.Job:  map 81% reduce 4%
16/03/30 23:20:04 INFO mapreduce.Job:  map 83% reduce 4%
16/03/30 23:20:05 INFO mapreduce.Job:  map 84% reduce 4%
16/03/30 23:20:06 INFO mapreduce.Job:  map 85% reduce 5%
16/03/30 23:20:07 INFO mapreduce.Job:  map 86% reduce 5%
16/03/30 23:20:08 INFO mapreduce.Job:  map 87% reduce 5%
16/03/30 23:20:09 INFO mapreduce.Job:  map 87% reduce 6%
16/03/30 23:20:10 INFO mapreduce.Job:  map 90% reduce 6%
16/03/30 23:20:11 INFO mapreduce.Job:  map 91% reduce 6%
16/03/30 23:20:12 INFO mapreduce.Job:  map 93% reduce 6%
16/03/30 23:20:13 INFO mapreduce.Job:  map 94% reduce 6%
16/03/30 23:20:14 INFO mapreduce.Job:  map 95% reduce 6%
16/03/30 23:20:15 INFO mapreduce.Job:  map 95% reduce 7%
16/03/30 23:20:16 INFO mapreduce.Job:  map 96% reduce 7%
16/03/30 23:20:17 INFO mapreduce.Job:  map 97% reduce 7%
16/03/30 23:20:21 INFO mapreduce.Job:  map 98% reduce 7%
16/03/30 23:20:22 INFO mapreduce.Job:  map 98% reduce 8%
16/03/30 23:20:24 INFO mapreduce.Job:  map 99% reduce 8%
16/03/30 23:20:29 INFO mapreduce.Job:  map 100% reduce 8%
16/03/30 23:20:31 INFO mapreduce.Job:  map 100% reduce 9%
16/03/30 23:20:40 INFO mapreduce.Job:  map 100% reduce 10%
16/03/30 23:20:43 INFO mapreduce.Job:  map 100% reduce 11%
16/03/30 23:21:01 INFO mapreduce.Job:  map 100% reduce 12%
16/03/30 23:21:10 INFO mapreduce.Job:  map 100% reduce 13%
16/03/30 23:21:19 INFO mapreduce.Job:  map 100% reduce 14%
16/03/30 23:21:28 INFO mapreduce.Job:  map 100% reduce 15%
16/03/30 23:21:37 INFO mapreduce.Job:  map 100% reduce 16%
16/03/30 23:21:49 INFO mapreduce.Job:  map 100% reduce 17%
16/03/30 23:21:55 INFO mapreduce.Job:  map 100% reduce 18%
16/03/30 23:22:04 INFO mapreduce.Job:  map 100% reduce 19%
16/03/30 23:22:07 INFO mapreduce.Job:  map 100% reduce 20%
16/03/30 23:22:22 INFO mapreduce.Job:  map 100% reduce 21%
16/03/30 23:22:25 INFO mapreduce.Job:  map 100% reduce 22%
16/03/30 23:22:37 INFO mapreduce.Job:  map 100% reduce 23%
16/03/30 23:22:46 INFO mapreduce.Job:  map 100% reduce 24%
16/03/30 23:22:55 INFO mapreduce.Job:  map 100% reduce 25%
16/03/30 23:23:04 INFO mapreduce.Job:  map 100% reduce 26%
